model	noise_type	noise_amount	edges_added	prev_score	new_score
lucio	erdos	0	0	150	0.8433901071548462	0.8433901071548462
lucio	power	0	0	150	0.8433901071548462	0.8433901071548462
bass_line	erdos	0.0	0	0.8692619204521179	0.9022051095962524
bass_line	erdos	0.0001	6323	0.868564248085022	0.8960431218147278
bass_line	erdos	0.001	63908	0.8686261177062988	0.8399441838264465
bass_line	erdos	0.005	318650	0.8691076636314392	0.6944442987442017
bass_line	erdos	0.01	637378	0.868141770362854	0.6149023175239563
bass_line	power	0.0	0	0.8985884785652161	0.9003146290779114
bass_line	power	0.0001	6081	0.8971692323684692	0.8978444933891296
bass_line	power	0.001	60497	0.8984938859939575	0.8867303729057312
bass_line	power	0.005	294812	0.8971832394599915	0.7666065096855164
bass_line	power	0.01	575134	0.896710991859436	0.5324026942253113
gae	erdos	0.0	0	0.7821106910705566	0.8182304501533508
gae	erdos	0.0001	6323	0.7821023464202881	0.8101380467414856
gae	erdos	0.001	63908	0.7820884585380554	0.7511717677116394
gae	erdos	0.005	318650	0.7821205854415894	0.5943347811698914
gae	erdos	0.01	637378	0.7821528315544128	0.5296628475189209
gae	power	0.0	0	0.6417655348777771	0.6849719882011414
gae	power	0.0001	6081	0.6367437839508057	0.6686977744102478
gae	power	0.001	60497	0.6431707739830017	0.5407624244689941
gae	power	0.005	294812	0.6364797353744507	0.18891604244709015
gae	power	0.01	575134	0.6438888907432556	0.14142972230911255
dse	erdos	0.0	0	0.8779183626174927	0.7517477869987488
dse	erdos	0.0001	6323	0.8779183626174927	0.7588576674461365
dse	erdos	0.001	63908	0.8779183626174927	0.720919132232666
dse	erdos	0.005	318650	0.8779183626174927	0.710581362247467
dse	erdos	0.01	637378	0.8779183626174927	0.7484607100486755
dse	power	0.0	0	0.8618259429931641	0.760823667049408
dse	power	0.0001	6081	0.8618259429931641	0.7695849537849426
dse	power	0.001	60497	0.8618259429931641	0.7596715092658997
dse	power	0.005	294812	0.8618259429931641	0.7685407400131226
dse	power	0.01	575134	0.8618259429931641	0.7761841416358948
